               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.027329,           0.0095626,           0.0090828,              0.9831,             0.99607,               0.995,             0.72296,            0.014046,           0.0052193,          0.00050922,            0.003565,            0.003565,            0.003565
                  67,            0.025101,           0.0098984,           0.0064074,              0.9685,              0.9946,               0.995,             0.74438,            0.014286,           0.0052283,          0.00062843,            0.003466,            0.003466,            0.003466
                  68,             0.02683,           0.0095237,            0.006755,             0.97641,             0.98885,               0.995,             0.76037,            0.013741,           0.0052618,          0.00093862,            0.003367,            0.003367,            0.003367
                  69,            0.026266,           0.0097996,           0.0071007,             0.97756,                   1,               0.995,             0.76028,            0.013823,           0.0052626,          0.00063797,            0.003268,            0.003268,            0.003268
                  70,            0.025418,           0.0095942,           0.0059606,             0.98078,                   1,               0.995,             0.75279,            0.013351,           0.0050959,          0.00056262,            0.003169,            0.003169,            0.003169
                  71,             0.02482,           0.0094909,           0.0060136,             0.98555,                   1,               0.995,             0.74746,             0.01372,            0.005139,          0.00040327,             0.00307,             0.00307,             0.00307
                  72,            0.025072,            0.010158,           0.0065412,             0.98537,                   1,               0.995,              0.7407,            0.013953,           0.0050412,          0.00034635,            0.002971,            0.002971,            0.002971
                  73,            0.024763,           0.0096871,           0.0067621,             0.98408,             0.99575,               0.995,             0.72786,             0.01395,           0.0051063,          0.00035133,            0.002872,            0.002872,            0.002872
                  74,            0.025315,           0.0098579,           0.0067518,             0.98477,                   1,               0.995,             0.73946,               0.014,           0.0051339,          0.00032957,            0.002773,            0.002773,            0.002773
                  75,             0.02431,           0.0094552,           0.0048639,             0.98559,                   1,               0.995,             0.75482,            0.013695,            0.004974,          0.00039419,            0.002674,            0.002674,            0.002674
                  76,            0.024011,           0.0095674,           0.0050659,             0.98325,                   1,               0.995,              0.7269,            0.013788,            0.005083,          0.00042209,            0.002575,            0.002575,            0.002575
                  77,            0.025173,           0.0097589,           0.0053274,             0.98285,                   1,               0.995,             0.73079,            0.014566,           0.0052743,          0.00038262,            0.002476,            0.002476,            0.002476
                  78,            0.024479,           0.0091344,           0.0080356,             0.98518,                   1,               0.995,             0.76061,            0.013846,           0.0051782,           0.0003813,            0.002377,            0.002377,            0.002377
                  79,            0.024859,           0.0090933,            0.006081,             0.98429,             0.99915,               0.995,             0.74469,            0.013592,            0.005138,           0.0004177,            0.002278,            0.002278,            0.002278
                  80,            0.022832,             0.00933,           0.0046611,             0.98496,             0.99445,               0.995,             0.73011,            0.014068,           0.0051783,          0.00041224,            0.002179,            0.002179,            0.002179
                  81,             0.02537,           0.0093229,           0.0082096,               0.983,                   1,               0.995,              0.7582,              0.0134,           0.0050327,          0.00036617,             0.00208,             0.00208,             0.00208
                  82,            0.025481,           0.0090638,           0.0039809,             0.98386,                   1,               0.995,             0.73172,             0.01381,           0.0050414,          0.00031269,            0.001981,            0.001981,            0.001981
                  83,            0.023428,           0.0096864,           0.0031777,             0.98382,                   1,               0.995,             0.74771,             0.01363,           0.0050526,          0.00029374,            0.001882,            0.001882,            0.001882
                  84,            0.025272,           0.0098933,           0.0049273,             0.98693,                   1,               0.995,             0.76262,            0.013223,           0.0050431,          0.00028853,            0.001783,            0.001783,            0.001783
                  85,            0.022994,           0.0096641,           0.0033152,             0.98671,                   1,               0.995,             0.74744,            0.013513,           0.0050517,           0.0002943,            0.001684,            0.001684,            0.001684
                  86,             0.02136,           0.0089527,           0.0034217,             0.98642,                   1,               0.995,             0.74963,            0.013393,             0.00506,          0.00032204,            0.001585,            0.001585,            0.001585
